sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:21:44.954 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1,1052635235,-0.27822715,0.13774633,-0.051887512,0,70.39052428143333,-9.686997471874552,-78.96015487250202
2,1052651902,-0.32698223,0.12966858,-0.16683483,0,69.93653588235203,-9.131722062388075,-78.94116219131895
3,1052668569,-0.302947,-0.0047572497,-0.2561226,0,69.55420233346636,-8.640050724064409,-79.03262601775066
4,1052685236,-0.20070301,-0.0743042,-0.28141308,0,69.32154811197226,-8.316750204623876,-79.15234962278255
5,1052701903,-0.20970343,-0.17634502,-0.43834972,0,69.22131138618883,-8.123642657269375,-79.34090155446827
6,1052718570,-0.23970826,-0.2795349,-0.7248173,0,69.22218677359628,-8.021866860879486,-79.56632260518383
7,1052735237,-0.34031436,-0.39138997,-0.8426037,0,69.3025051621442,-7.9785146556942115,-79.7897653079485
8,1052751904,-0.32939819,-0.4333532,-0.7887459,0,69.43628989696344,-7.982279786347494,-80.01898807318567
9,1052768571,-0.42139456,-0.37843314,-0.54269123,0,69.58075762610841,-8.009217292717585,-80.24138305285382
10,1052785238,-0.51128745,-0.425627,-0.39024162,0,69.65718587187153,-8.04523363920829,-80.45690396258907
11,1052801905,-0.54274267,-0.3764508,-0.2578249,0,69.69204116725989,-8.09942404327925,-80.63166495950564
12,1052818572,-0.5860878,-0.2787951,-0.18752384,0,69.68310326370542,-8.16021687441396,-80.77568052177027
13,1052835239,-0.61218745,-0.2699042,-0.2902031,0,69.66623439474868,-8.223133325340077,-80.88504001769626
14,1052851906,-0.71097887,-0.19386463,-0.18962097,0,69.70812619242099,-8.283118038281735,-80.93902457067274
15,1052868573,-0.91891026,-0.029976217,0.05783558,0,69.75800664402253,-8.34562631241741,-80.94698993641472
16,1052885240,-1.0215276,0.11068674,0.12464619,0,69.81583324973182,-8.415314784058616,-80.91687658779986
17,1052901907,-1.2146813,0.24908864,0.3076458,0,69.86432622705873,-8.48749478060002,-80.8589933464863
18,1052918574,-1.4340984,0.3325971,0.37815857,0,69.85155814332083,-8.571125119147494,-80.7991734866865
19,1052935241,-1.6373694,0.35889253,0.22960758,0,69.79246597432584,-8.65424420233396,-80.74560157753912
20,1052951908,-1.8381512,0.38019666,0.14635849,0,69.69992414031634,-8.738029831083082,-80.7041025547681
21,1052968575,-1.9457462,0.43595597,-0.048830986,0,69.56144169312786,-8.821770151575745,-80.69365468135881
22,1052985242,-1.9756037,0.41608277,-0.34891987,0,69.38951424337513,-8.89626142283769,-80.71798772724345
23,1053001909,-1.8191946,0.32418787,-0.6287508,0,69.21270930587687,-8.95595844877404,-80.77830008038238
24,1053018576,-1.6503552,0.21652192,-0.6933794,0,69.04794654473459,-8.99506778455592,-80.87731242015981
25,1053035243,-1.3702122,0.13833664,-0.6151905,0,68.87988152983846,-9.01379078957645,-81.0055415377083
26,1053051910,-1.1811465,0.07077873,-0.7138443,0,68.69125468649285,-8.99903788790168,-81.16996485104465
27,1053068577,-0.99396884,0.09557727,-0.5531912,0,68.5596890394578,-8.955747897640574,-81.3450617053005
28,1053085244,-0.82451874,0.21842758,-0.20886421,0,68.44613522344565,-8.887767946492268,-81.54470961600852
29,1053101911,-0.6876153,0.23914233,-0.14553547,0,68.28112505740454,-8.800021751200154,-81.76159658706426
30,1053118578,-0.46777686,0.25001243,-0.15738106,0,68.15549992705935,-8.694498954532772,-81.98167124483778
31,1053135245,-0.21239676,0.25588748,0.17706585,0,68.07620126218569,-8.5805869500826,-82.18666642400557
32,1053151912,-0.32454193,0.35135856,0.16068554,0,67.95453357061471,-8.470839007326411,-82.37706539572349
33,1053168579,-0.42088228,0.26308748,-0.09239197,0,67.84848335646019,-8.361434440461581,-82.5551058191503
34,1053185246,-0.47586602,0.17721717,-0.12825298,0,67.79449693982812,-8.25666099180937,-82.7237900296344
35,1053201913,-0.37384018,0.10008642,-0.068629265,0,67.78605488437658,-8.156488738355637,-82.87128436392958
