"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424798114000E9,"2024-04-18 09:19:58.114 UTC+02:00"
"PAUSE",3.257844874999137E0,1.713424801371000E9,"2024-04-18 09:20:01.371 UTC+02:00"
