"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424856420000E9,"2024-04-18 09:20:56.420 UTC+02:00"
"PAUSE",3.263806583330734E0,1.713424859684000E9,"2024-04-18 09:20:59.684 UTC+02:00"
