"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.489958335E-3,1.535693350E-1,2.081301793E-1,-8.932557464E-2,2.736435099E-1
1.946095834E-2,-1.324493382E-1,1.969881637E-1,-3.987918019E-2,2.407021248E-1
2.943295834E-2,-4.125757357E-1,2.350808003E-1,-5.600872457E-2,4.781408763E-1
3.940395833E-2,-2.790713040E-1,1.967940362E-1,-1.412851024E-1,3.695540090E-1
4.937595833E-2,-1.960567023E-1,2.169929503E-1,-7.806383729E-2,3.026848752E-1
5.934695834E-2,-1.634610332E-1,1.336443995E-1,-5.299974740E-2,2.176908544E-1
6.931895834E-2,-8.201706670E-2,2.575460221E-1,9.588264227E-3,2.704601404E-1
7.929095834E-2,2.571634680E-1,4.322178487E-1,8.613182545E-2,5.102587671E-1
8.926195833E-2,2.233303088E-1,4.735068657E-1,5.834293306E-2,5.267723195E-1
9.923395833E-2,1.671594702E-2,4.398391096E-1,7.272532940E-2,4.461242414E-1
1.092049583E-1,1.204783702E-1,4.554682785E-1,2.977519155E-2,4.720730372E-1
1.191769583E-1,2.827372158E-1,4.271977217E-1,4.222742200E-2,5.140246899E-1
1.291479583E-1,1.845158335E-1,3.272030982E-1,8.449460506E-2,3.850289581E-1
1.391199583E-1,1.405827056E-1,2.948712847E-1,5.513047278E-2,3.312883044E-1
1.490909583E-1,1.417232050E-1,2.889209387E-1,2.360520959E-3,3.218172583E-1
1.590629583E-1,1.418388337E-1,3.112320864E-1,-3.637435913E-2,3.439574979E-1
1.690339583E-1,2.113183737E-1,3.134422608E-1,-1.120893699E-1,3.942911777E-1
1.790059583E-1,3.282235835E-1,2.930304350E-1,-1.995251244E-1,4.831229987E-1
1.889769583E-1,3.310751244E-1,2.696854265E-1,-2.184373587E-1,4.796413733E-1
1.989489583E-1,2.663900819E-1,2.552508438E-1,-2.557490265E-1,4.489145059E-1
2.089199583E-1,3.128484761E-1,3.110103308E-1,-3.092808706E-1,5.387543519E-1
2.188919583E-1,3.487353967E-1,3.506806923E-1,-3.333176047E-1,5.964008303E-1
2.288639583E-1,2.983581255E-1,3.490533391E-1,-2.975782531E-1,5.471824388E-1
2.388349583E-1,2.438522816E-1,3.575576026E-1,-2.947528785E-1,5.236321551E-1
2.488069583E-1,3.099788819E-1,3.726418110E-1,-3.036593574E-1,5.719771253E-1
2.587779583E-1,3.850423667E-1,3.933784497E-1,-3.073431033E-1,6.304474696E-1
2.687499583E-1,3.803875445E-1,3.572748897E-1,-2.854762709E-1,5.948417706E-1
2.787209583E-1,3.462751076E-1,3.604404992E-1,-2.298768514E-1,5.501519521E-1
2.886929583E-1,2.765317851E-1,3.417368643E-1,-1.833774537E-1,4.763204836E-1
2.986639583E-1,1.873595537E-1,2.803590070E-1,-8.695745230E-2,3.482332174E-1
3.086359583E-1,3.529861763E-2,2.684578767E-1,9.276724577E-2,2.862191221E-1
3.186069583E-1,-1.067589019E-1,1.521490829E-1,2.447159153E-1,3.072990169E-1
3.285789583E-1,-2.425381199E-1,3.039828546E-2,4.047805202E-1,4.728594557E-1
3.385499583E-1,-5.284390448E-1,-1.102147526E-1,5.172487897E-1,7.476238534E-1
3.485219583E-1,-7.650891647E-1,-2.712119883E-1,4.936429954E-1,9.500530403E-1
3.584939583E-1,-7.695516135E-1,-3.335957129E-1,4.741191423E-1,9.634753482E-1
3.684649583E-1,-7.321709485E-1,-2.342102960E-1,4.258568090E-1,8.787962121E-1
3.784369583E-1,-6.931891698E-1,-1.089887376E-1,3.939544004E-1,8.047296687E-1
3.884079583E-1,-6.165755881E-1,-7.054899573E-2,2.749360800E-1,6.787727637E-1
3.983799583E-1,-4.619032855E-1,-5.127861947E-3,1.597535330E-1,4.887761568E-1
4.083509583E-1,-4.150502774E-1,3.388052166E-2,1.515937436E-1,4.431650772E-1
4.183229583E-1,-4.997167906E-1,-2.718852952E-2,1.500056398E-1,5.224536141E-1
4.282939583E-1,-5.711677194E-1,-1.574209325E-1,1.028858525E-1,6.013313664E-1
4.382659583E-1,-6.190187010E-1,-1.919570732E-1,1.076530874E-1,6.569785821E-1
4.482369583E-1,-7.250053319E-1,-1.320579037E-1,1.648862189E-1,7.551552731E-1
4.582089583E-1,-7.797449183E-1,-1.920934595E-1,1.262624359E-1,8.129232667E-1
4.681799583E-1,-7.201990668E-1,-1.978990138E-1,1.887253171E-1,7.703687175E-1
4.781519583E-1,-5.985666025E-1,-1.795485507E-1,2.366064119E-1,6.682082414E-1
4.881229583E-1,-4.979173100E-1,-2.394914281E-1,9.630071819E-2,5.608490172E-1
4.980949583E-1,-3.834435917E-1,-3.466821469E-1,-9.221351445E-2,5.250912600E-1
5.080669583E-1,-2.624584141E-1,-3.083019005E-1,-2.006501287E-1,4.518793591E-1
5.180379583E-1,-1.941066559E-1,-2.492700192E-1,-2.538919508E-1,4.053073637E-1
