sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:50:30.673 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1,2778327570,0.0320208,0.025309937,0.40307236,0,-132.61066234224984,-1.9869715918669508,-88.88879867756316
2,2778344237,0.0121312775,0.10099757,0.30886364,0,-132.59156828961537,-2.0404434379631393,-88.97922694642568
3,2778360904,0.0988647,0.13449088,0.33522606,0,-132.59135676119976,-2.022721309832218,-89.08653235145024
4,2778377571,0.08642821,0.1228701,0.25128937,0,-132.56106066383353,-1.9911404833414343,-89.108333188837
5,2778394238,0.005479979,0.12422526,0.29298973,0,-132.54012007876312,-1.9651973927810689,-89.1509790822089
6,2778410905,0.008467341,0.072442,0.26625347,0,-132.57039650358425,-1.951613519948171,-89.18077679067076
7,2778427572,0.059657507,0.08848956,0.26285648,0,-132.63816646895336,-1.9519574741676093,-89.2068061511376
8,2778444239,0.08128294,0.031959448,0.22934628,0,-132.70675503402492,-1.9529589364592235,-89.20288064034422
9,2778460906,0.0753584,-0.03659734,0.21294975,0,-132.7739838187717,-1.9578044990196266,-89.18104732846031
10,2778477573,0.05149124,-0.10527013,0.22415257,0,-132.83059051893818,-1.964561147291512,-89.16696876657707
11,2778494240,-0.0031448272,-0.18058796,0.20748806,0,-132.89262704412687,-1.9774591818353338,-89.14247526464129
12,2778510907,0.015318461,-0.2546085,0.2645378,0,-132.95483739588764,-1.9967270942779891,-89.14399538308182
13,2778527574,0.013061762,-0.31755838,0.32474136,0,-132.99090918335952,-2.0238772127173172,-89.13244596565144
14,2778544241,-0.012676202,-0.3667993,0.29023075,0,-132.99997619685368,-2.0549815518661094,-89.11039069148278
15,2778560908,-0.078469366,-0.42951536,0.27676296,0,-133.00560645929616,-2.0937556032798748,-89.09547194919533
16,2778577575,-0.054127797,-0.4225005,0.27562618,0,-133.00514634453515,-2.134700306920554,-89.08328537275254
17,2778594242,-0.1400236,-0.44025862,0.31158257,0,-133.00657135595685,-2.181519154015173,-89.07432359444239
18,2778610909,-0.0881762,-0.45948395,0.4129305,0,-132.99811104944882,-2.232171074416199,-89.07483759436018
19,2778627576,-0.06848783,-0.4660452,0.45312023,0,-132.97493706094178,-2.2893135903886472,-89.08888550376268
20,2778644243,-0.013748617,-0.47577852,0.5022545,0,-132.9535858151595,-2.356788654842434,-89.09792794862399
21,2778660910,0.057803355,-0.4814175,0.5122528,0,-132.92453431461843,-2.4405528700436165,-89.1236483840548
22,2778677577,0.21748973,-0.5366574,0.5851011,0,-132.89008937409594,-2.536323760536103,-89.1504953529789
23,2778694244,0.4807055,-0.6493614,0.5830393,0,-132.81709575465797,-2.6571867902369193,-89.18114589233299
24,2778710911,0.6641028,-0.7317011,0.60134125,0,-132.69997474317543,-2.7972648497634625,-89.22372327511847
25,2778727578,0.687778,-0.82471746,0.5661135,0,-132.5462370432294,-2.9585815707804923,-89.24878016885185
26,2778744245,0.98319405,-0.9783227,0.74475193,0,-132.32247977276134,-3.141963205102836,-89.32122508772015
27,2778760912,1.2305851,-1.1098031,0.67709637,0,-132.06447639196742,-3.3480853679839355,-89.37626793694022
28,2778777579,1.8743877,-1.416443,1.1935472,0,-131.73943116746102,-3.592000265667878,-89.33800699055973
29,2778794246,2.4177911,-1.559311,1.4482698,0,-131.2795188433109,-3.899814147142397,-89.31627350548898
30,2778810913,2.5364919,-1.6090729,1.4908075,0,-130.72723464182286,-4.2655431486822915,-89.23153318874246
31,2778827580,2.3108323,-1.4221106,1.7278252,0,-130.05371624332057,-4.674326871296272,-88.98504965121063
32,2778844247,1.7814313,-1.1293826,1.6516752,0,-129.2713602993563,-5.103895651204203,-88.66538588610136
33,2778860914,1.3126786,-0.7589445,1.8322334,0,-128.4441359734279,-5.560922804366584,-88.26580954533111
34,2778877581,0.91094685,-0.483575,1.6035099,0,-127.64473379000623,-6.053016404997976,-87.78724497287197
35,2778894248,0.5700573,-0.2921131,1.3357801,0,-126.98093801015206,-6.594555919730239,-87.19165677898951
36,2778910915,0.3183248,0.030861104,1.2289228,0,-126.44695613531528,-7.1808065328356845,-86.50862404997073
37,2778927582,-0.20547614,0.2635517,1.3683643,0,-125.99901746802199,-7.803201010872799,-85.77882833994522
38,2778944249,-0.71329904,0.61550874,1.1809044,0,-125.59826449831637,-8.472475944991558,-85.00809569737206
39,2778960916,-1.1745358,0.77369344,0.9256954,0,-125.24805345540175,-9.189046785584049,-84.23034855083776
40,2778977583,-1.43858,0.85608816,0.43991756,0,-124.95916041350674,-9.93959694690171,-83.47683067190842
41,2778994250,-1.7450957,0.88471645,-0.024599075,0,-124.73536979576403,-10.702633681210132,-82.75650247371344
42,2779010917,-2.0368161,0.79268533,-0.15271759,0,-124.5679990287296,-11.45650887026394,-82.09950781617809
43,2779027584,-2.172924,0.8333014,-0.4983673,0,-124.49533443742531,-12.19400008843332,-81.50758597817213
44,2779044251,-2.2358863,0.78660154,-0.6155119,0,-124.51683630997044,-12.914411137547956,-80.99308369947707
45,2779060918,-2.090138,0.66359586,-0.91055584,0,-124.57212989104737,-13.607187606082176,-80.56350331236811
46,2779077585,-2.013448,0.44527155,-1.2288456,0,-124.63431340249167,-14.249768164364593,-80.22189844143882
47,2779094252,-1.8691176,0.3409168,-1.1375246,0,-124.65563818333275,-14.823915443550746,-79.95682039467587
48,2779110919,-1.6301996,0.06642794,-1.000597,0,-124.61145734494613,-15.32410401781834,-79.7661694613792
49,2779127586,-1.2692459,-0.1309187,-0.88012886,0,-124.54161394595211,-15.76158074589194,-79.63341160918567
50,2779144253,-0.8319066,-0.28678054,-0.763011,0,-124.50511736587293,-16.137884425056356,-79.50472292523703
51,2779160920,-0.46703938,-0.37973645,-0.65719795,0,-124.47802618765624,-16.46034560407659,-79.35004242589265
