"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.090250005E-3,-1.407386070E-1,7.263449656E-2,-5.291262388E-2,1.669816497E-1
1.806125000E-2,-4.180273873E-1,6.784853227E-2,9.818059802E-3,4.236115132E-1
2.803225000E-2,-4.709896394E-1,6.293129800E-2,-9.410041094E-2,4.844032164E-1
3.800425000E-2,-2.919807136E-1,1.547446254E-1,-2.411567152E-1,4.090906959E-1
4.797525000E-2,-2.764527015E-1,1.416524354E-1,-2.553695422E-1,4.021257412E-1
5.794725000E-2,-4.329285047E-1,9.042156212E-2,-2.003834957E-1,4.855478292E-1
6.791825000E-2,-3.830505858E-1,1.031618410E-1,-2.171340144E-1,4.522358863E-1
7.788924999E-2,-2.545100746E-1,1.456269889E-1,-2.313064957E-1,3.734772991E-1
8.786124999E-2,-2.371516648E-1,1.518497785E-1,-1.847766924E-1,3.368110648E-1
9.783225000E-2,-2.899091913E-1,1.349724483E-1,-1.114286345E-1,3.386461894E-1
1.078032500E-1,-2.342810474E-1,1.281822230E-1,-9.662465394E-2,2.839975619E-1
1.177752500E-1,-1.586623695E-1,8.957386203E-2,-4.387458265E-2,1.874091867E-1
1.277462500E-1,-1.734278315E-1,2.447388656E-2,7.772703767E-3,1.753185638E-1
1.377172500E-1,-1.698825916E-1,-2.159983389E-2,1.852222502E-2,1.722490075E-1
1.476892500E-1,-1.660385589E-1,-3.571903244E-2,1.179500341E-2,1.702462171E-1
1.576602500E-1,-2.177671947E-1,-3.893101763E-2,3.126330793E-2,2.234179260E-1
1.676322500E-1,-3.068946949E-1,-4.146538362E-2,3.277422845E-2,3.114127195E-1
1.776032500E-1,-3.484417203E-1,-5.022484157E-2,3.878925920E-2,3.541733669E-1
1.875742500E-1,-3.631965843E-1,-3.726331864E-2,2.121603727E-2,3.657190643E-1
1.975462500E-1,-3.370930056E-1,-1.965245526E-2,2.084298491E-2,3.383080600E-1
2.075172500E-1,-3.218408360E-1,8.808866926E-3,1.147691488E-2,3.221658570E-1
2.174882500E-1,-3.352432390E-1,3.039598312E-2,4.738583565E-2,3.399372920E-1
2.274602500E-1,-4.483461506E-1,-6.165158004E-4,9.669774413E-2,4.586557582E-1
2.374312500E-1,-4.971163876E-1,-4.306258712E-2,8.326727450E-2,5.058779776E-1
2.474022500E-1,-4.508228119E-1,1.309885941E-2,1.161268723E-1,4.657233495E-1
2.573742500E-1,-4.379132561E-1,5.282374620E-2,1.369347739E-1,4.618544146E-1
2.673452500E-1,-4.090040372E-1,4.383840300E-2,1.477521229E-1,4.370775650E-1
2.773172500E-1,-3.544256146E-1,1.981138989E-2,1.369938308E-1,3.804961460E-1
2.872882500E-1,-2.647515459E-1,-1.185055196E-2,1.438122690E-1,3.015224459E-1
2.972550417E-1,-1.929303423E-1,-6.170701895E-2,1.113280624E-1,2.311359138E-1
3.072270417E-1,-1.582206123E-1,-5.079483546E-2,7.792642772E-2,1.835385671E-1
3.171980417E-1,-1.210151446E-1,5.053894669E-3,2.397943139E-2,1.234715360E-1
3.271690417E-1,-1.125245489E-2,7.339319106E-2,-1.036237711E-1,1.274796618E-1
3.371410417E-1,2.101464455E-1,1.331169076E-1,-2.400913525E-1,3.457245973E-1
3.471120417E-1,5.094549628E-1,2.496057956E-1,-3.790562797E-1,6.822983772E-1
3.570840417E-1,9.126435786E-1,2.795023900E-1,-4.269671953E-1,1.045629415E0
3.670550417E-1,1.549560826E0,-2.745560110E-3,-3.635646665E-1,1.591642409E0
3.770260417E-1,2.046661134E0,-1.553435630E-1,-3.296519852E-1,2.078851570E0
3.869980417E-1,1.869271229E0,-1.219807026E-1,-2.654220754E-1,1.891957478E0
3.969690417E-1,2.531433611E0,-1.346177782E-1,-7.614185750E-2,2.536153713E0
4.069400417E-1,2.783850601E0,2.610840261E-1,-1.653078032E-1,2.800949073E0
4.169120417E-1,2.923454629E0,3.811724966E-1,-3.322230059E-1,2.966858872E0
4.268830417E-1,3.184788624E0,6.025632840E-1,-4.462045348E-1,3.271858734E0
4.368540417E-1,3.352885256E0,8.239476760E-1,-6.255316222E-1,3.508848689E0
4.468260417E-1,3.523363460E0,9.600946838E-1,-1.016837234E0,3.790755839E0
4.567970417E-1,3.704383024E0,1.094089770E0,-1.538273215E0,4.157615963E0
4.667690417E-1,3.533794600E0,1.163446884E0,-1.418866639E0,3.981770394E0
4.767400417E-1,2.748998857E0,1.490425449E0,-1.149718718E0,3.331698646E0
4.867110417E-1,2.436242255E0,1.581281679E0,-1.421333579E0,3.233561074E0
4.966830417E-1,2.889963532E0,1.428991678E0,-1.848493733E0,3.716293249E0
5.066540417E-1,3.060963600E0,1.261125279E0,-1.996832916E0,3.866170822E0
5.166250417E-1,2.540835349E0,1.175958537E0,-1.903565149E0,3.385599360E0
5.265970417E-1,1.857399919E0,1.117900217E0,-1.738901709E0,2.779103184E0
5.365680417E-1,1.277665737E0,1.095812944E0,-1.526835476E0,2.272545338E0
5.465390417E-1,7.950576067E-1,1.066329237E0,-1.466509168E0,1.979854484E0
5.565110417E-1,6.663291076E-1,9.006556170E-1,-1.587893271E0,1.943342497E0
5.664820417E-1,6.691389871E-1,9.130888440E-1,-1.684919044E0,2.029884333E0
5.764540417E-1,6.088653034E-1,8.152935044E-1,-1.786409751E0,2.055889164E0
5.864250417E-1,5.020781887E-1,6.815400544E-1,-1.843016061E0,2.028124147E0
5.963960417E-1,3.075068253E-1,5.117195895E-1,-1.846906798E0,1.941000285E0
6.063680417E-1,-6.157702804E-3,1.067957394E-1,-1.755131825E0,1.758388743E0
6.163390417E-1,-3.055959553E-1,-1.503507717E-1,-1.534281905E0,1.571628203E0
6.263100417E-1,-6.642004287E-1,-3.131296541E-1,-1.288791234E0,1.483305509E0
6.362820417E-1,-1.177270798E0,-5.966406758E-1,-1.437647311E0,1.951608675E0
6.462530417E-1,-1.519700704E0,-8.290294911E-1,-1.736371034E0,2.451889984E0
6.562240417E-1,-1.788528782E0,-1.056726501E0,-1.671638848E0,2.666436300E0
