"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424885767000E9,"2024-04-18 09:21:25.767 UTC+02:00"
"PAUSE",3.626538916665595E0,1.713424889394000E9,"2024-04-18 09:21:29.394 UTC+02:00"
