"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424341221000E9,"2024-04-18 09:12:21.221 UTC+02:00"
"PAUSE",3.998530625001877E0,1.713424345220000E9,"2024-04-18 09:12:25.220 UTC+02:00"
