"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424255109000E9,"2024-04-18 09:10:55.109 UTC+02:00"
"PAUSE",3.658411249998608E0,1.713424258767000E9,"2024-04-18 09:10:58.767 UTC+02:00"
