"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.980773750E-1,-3.210419601E-1,-1.982010224E-1,-1.925806203E0,1.962417162E0
6.080483750E-1,-3.558352321E-1,-3.252624804E-1,-1.993736815E0,2.051194989E0
6.180193750E-1,-2.053325790E-1,-5.795953113E-1,-2.250205634E0,2.332706066E0
6.279903750E-1,-6.917256117E-3,-8.403124246E-1,-2.496355287E0,2.634001241E0
6.379613750E-1,-1.330136311E-1,-9.208522654E-1,-2.596257890E0,2.757937010E0
6.479323750E-1,-4.195494175E-1,-9.167837727E-1,-2.502535794E0,2.697999184E0
6.579033750E-1,-5.604977202E-1,-9.739984855E-1,-2.260752257E0,2.524644829E0
6.678743750E-1,-7.539674681E-1,-1.121764934E0,-2.202176020E0,2.583873591E0
6.778453750E-1,-1.065919932E0,-1.574911576E0,-2.009448284E0,2.766661197E0
6.878163750E-1,-1.340163116E0,-1.825403955E0,-1.681662730E0,2.820660617E0
6.977873750E-1,-1.349699925E0,-1.850219539E0,-1.645624001E0,2.820120668E0
7.077583750E-1,-1.099964760E0,-1.862099034E0,-1.770410015E0,2.794939518E0
7.177293750E-1,-9.878116554E-1,-1.703259713E0,-1.674004047E0,2.584406134E0
7.277003750E-1,-1.352985476E0,-1.638776911E0,-1.383879240E0,2.535997085E0
7.376713750E-1,-1.873668335E0,-1.602483536E0,-1.332434852E0,2.802493380E0
7.476423750E-1,-1.855393447E0,-1.441031095E0,-1.641278350E0,2.865807056E0
7.576133750E-1,-1.595330930E0,-1.402437133E0,-2.014364623E0,2.927383733E0
7.675843750E-1,-1.653970317E0,-1.266792839E0,-2.036921719E0,2.913662986E0
7.775553750E-1,-1.974642148E0,-9.503836280E-1,-2.022011611E0,2.981773232E0
7.875263750E-1,-2.133686998E0,-8.523939416E-1,-2.295696095E0,3.247986484E0
7.974983750E-1,-2.349118888E0,-9.044344532E-1,-2.567915266E0,3.595907402E0
8.074693750E-1,-2.667974575E0,-1.001009698E0,-2.849500507E0,4.029858793E0
8.174403750E-1,-2.961309503E0,-1.143979091E0,-3.239792504E0,4.535889946E0
8.274113750E-1,-3.062433590E0,-9.830137226E-1,-3.434148690E0,4.705124089E0
8.373823750E-1,-3.198701196E0,-6.305464867E-1,-3.577283852E0,4.840065905E0
8.473533750E-1,-3.127640569E0,-3.425380790E-1,-4.125742155E0,5.188565909E0
8.573243750E-1,-2.772297673E0,-1.175161707E-1,-4.739293124E0,5.491843384E0
8.672953750E-1,-2.549856141E0,7.259464413E-2,-5.057452115E0,5.664349761E0
8.772663750E-1,-2.866716172E0,3.209039658E-2,-5.136720479E0,5.882600503E0
8.872373750E-1,-3.435614002E0,9.202084869E-2,-4.945411277E0,6.022375288E0
8.972083750E-1,-3.669326627E0,2.539463300E-1,-4.819510491E0,6.062683235E0
9.071793750E-1,-3.125859507E0,3.804669204E-1,-5.012412182E0,5.919461852E0
9.171503750E-1,-2.604886041E0,5.609447399E-1,-5.372021792E0,5.996558048E0
9.271213750E-1,-2.359671358E0,9.168875608E-1,-5.666225032E0,6.206032375E0
9.370923750E-1,-2.134864628E0,1.193947057E0,-5.702784748E0,6.205232505E0
9.470633750E-1,-2.000825980E0,1.338277389E0,-5.426994975E0,5.936881793E0
9.570343750E-1,-1.578334828E0,1.557833028E0,-5.349800618E0,5.791230545E0
9.670053750E-1,-6.224869770E-1,1.422519102E0,-5.600812231E0,5.812069191E0
9.769763750E-1,8.502026975E-2,1.234774948E0,-5.764267051E0,5.895648587E0
9.869473750E-1,5.560058892E-1,1.009755086E0,-5.720153317E0,5.835143688E0
9.969183750E-1,1.203821250E0,5.593844104E-1,-5.554451997E0,5.710869768E0
1.006889375E0,1.449423603E0,4.208141702E-1,-5.149142888E0,5.365779145E0
1.016860375E0,9.493469167E-1,5.723950499E-1,-4.640005356E0,4.770591721E0
1.026831375E0,2.800091243E-1,5.901740938E-1,-3.795424172E0,3.851227754E0
1.036802375E0,3.026179683E-1,7.401908433E-1,-2.958078332E0,3.064259705E0
1.046773375E0,7.812991083E-1,5.994471931E-1,-2.624208165E0,2.802897381E0
1.056744375E0,1.131661347E0,1.903028959E-1,-2.602638956E0,2.844398378E0
1.066715375E0,1.559651220E0,-5.485518587E-1,-2.816442397E0,3.265848870E0
1.076686375E0,2.051802006E0,-1.060798355E0,-2.841080225E0,3.661546321E0
1.086657375E0,1.995750012E0,-1.675498595E0,-3.094486856E0,4.045511409E0
1.096628375E0,1.676470402E0,-2.072691184E0,-2.979364536E0,3.997901298E0
1.106599375E0,1.715728024E0,-2.055227305E0,-2.430123875E0,3.615685823E0
1.116570375E0,2.062908207E0,-2.096608635E0,-1.869769412E0,3.485311419E0
1.126541375E0,1.840607008E0,-2.455859225E0,-1.111904482E0,3.264262592E0
1.136512375E0,1.549633185E0,-3.091589269E0,-3.754751524E-1,3.478544064E0
1.146483375E0,1.842231950E0,-3.378374731E0,2.070990229E-1,3.853585913E0
1.156454375E0,2.433752072E0,-3.611578356E0,6.816464737E-1,4.408093611E0
1.166425375E0,2.908003947E0,-3.953898626E0,1.100910547E0,5.030089992E0
1.176396375E0,2.917232022E0,-4.250739838E0,1.591500126E0,5.395544875E0
1.186367375E0,2.523020929E0,-4.387123512E0,2.011856752E0,5.446104563E0
1.196338375E0,2.673667424E0,-4.316620124E0,2.573949300E0,5.692707773E0
1.206310375E0,2.812970320E0,-4.128477775E0,2.923514856E0,5.788270024E0
1.216281375E0,3.261558180E0,-4.083874629E0,2.783860542E0,5.921627585E0
1.226252375E0,3.833896512E0,-4.324049304E0,2.401316398E0,6.257993711E0
1.236223375E0,4.233731457E0,-4.348883014E0,2.242850714E0,6.470521219E0
1.246194375E0,4.469308174E0,-4.522964272E0,1.509688516E0,6.535371510E0
1.256165375E0,4.450174915E0,-4.671855724E0,1.082344760E0,6.542305623E0
1.266136375E0,4.053842452E0,-4.710652000E0,8.182424015E-1,6.268444905E0
1.276107375E0,3.954025803E0,-4.809213837E0,6.765134954E-1,6.262629503E0
1.286078375E0,4.168057285E0,-4.850564469E0,7.765499997E-1,6.442337084E0
1.296049375E0,4.614248956E0,-5.105642527E0,5.779920048E-1,6.906008529E0
1.306020375E0,4.574234705E0,-5.537350645E0,4.052705169E-1,7.193755590E0
1.315991375E0,4.380039318E0,-5.926047229E0,5.311669171E-2,7.369233445E0
