"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.415708336E-3,-4.623298399E-2,9.953773677E-2,1.060234684E-1,1.525982493E-1
1.538670833E-2,-7.189107791E-2,7.126403712E-2,9.810692310E-2,1.409675794E-1
2.535870833E-2,-1.826057674E-1,6.034202300E-2,1.130524063E-1,2.230849000E-1
3.532970833E-2,-2.412679584E-1,7.187105119E-3,1.081120938E-1,2.644808255E-1
4.530070833E-2,-2.524854762E-1,2.384114474E-2,6.472458422E-2,2.617376314E-1
5.527270833E-2,-2.033723000E-1,2.039530747E-2,-1.465312243E-3,2.043976715E-1
6.524370833E-2,-1.647127759E-1,4.115204595E-2,-5.425748348E-2,1.782348561E-1
7.521570833E-2,-1.808106722E-1,3.770730503E-2,-2.107511938E-2,1.858991681E-1
8.518670833E-2,-3.180497937E-1,-2.301683351E-2,1.665871739E-3,3.188859060E-1
9.515870833E-2,-3.099511807E-1,-3.215413123E-2,-1.637980521E-2,3.120447414E-1
1.051297083E-1,-2.802988538E-1,6.760039106E-3,-1.388830662E-2,2.807241184E-1
1.151017083E-1,-3.767524767E-1,1.262033790E-2,-4.324191391E-2,3.794358506E-1
1.250727083E-1,-3.642697676E-1,6.410580263E-2,-9.082597017E-2,3.808561072E-1
1.350447083E-1,-2.303763498E-1,1.308218023E-1,-1.494630182E-1,3.041821828E-1
1.450157083E-1,-1.221898502E-1,1.558746363E-1,-1.419230336E-1,2.436583863E-1
1.549877083E-1,-1.614974651E-1,9.144394778E-2,-1.452577007E-1,2.356761049E-1
1.649587083E-1,-1.587945896E-1,5.991758823E-2,-1.811625284E-1,2.482452432E-1
1.749307083E-1,-6.175566047E-2,8.742018633E-2,-1.750440019E-1,2.051742021E-1
1.849017083E-1,-5.828482635E-2,5.435279310E-2,-1.817548513E-1,1.984594999E-1
1.948727083E-1,-1.724607021E-2,5.086003192E-2,-2.004600942E-1,2.075293212E-1
2.048447083E-1,9.220781341E-2,5.260652214E-2,-1.564545339E-1,1.890707492E-1
2.148157083E-1,1.338168924E-1,9.778941929E-2,-9.403316796E-2,1.905569938E-1
2.247877083E-1,2.593781740E-1,8.087627493E-2,-8.135231137E-2,2.836127775E-1
2.347587083E-1,4.264682085E-1,2.052271099E-1,-2.799296021E-2,4.741064283E-1
2.447307083E-1,4.158872332E-1,1.950199910E-1,1.075244486E-1,4.717589371E-1
2.547017083E-1,2.504111034E-1,6.925266802E-2,2.384050155E-1,3.526167950E-1
2.646737083E-1,1.572829382E-1,-3.194005005E-2,2.729585516E-1,3.166456385E-1
2.746447083E-1,2.510631410E-1,6.435511328E-2,3.418761742E-1,4.290146849E-1
2.846167083E-1,2.609914939E-1,1.488278644E-1,4.485978001E-1,5.399132147E-1
2.945877083E-1,2.421599512E-1,2.246726833E-1,4.940324199E-1,5.942956238E-1
3.045597083E-1,2.611862793E-1,2.700157211E-1,4.093477803E-1,5.556009066E-1
3.145307083E-1,2.233499701E-1,2.337290702E-1,3.017572582E-1,4.422351527E-1
3.245027083E-1,1.706577862E-1,2.109032945E-1,2.089654541E-1,3.424483036E-1
3.344737083E-1,2.599560982E-1,2.105238102E-1,1.543986529E-1,3.684242007E-1
3.444447083E-1,3.866456732E-1,2.479894059E-1,1.938603419E-1,4.985734191E-1
3.544167083E-1,4.671666567E-1,2.464135082E-1,1.578110880E-1,5.512428155E-1
3.643877083E-1,5.642637657E-1,2.892836123E-1,6.926377773E-2,6.378683849E-1
3.743597083E-1,6.409321649E-1,3.460980101E-1,-2.887881339E-2,7.289800124E-1
3.843307083E-1,6.897424554E-1,4.505762786E-1,-1.115455788E-1,8.313880284E-1
3.943027083E-1,7.800166677E-1,5.886829808E-1,-1.842913735E-1,9.944530980E-1
4.042737083E-1,7.753318785E-1,6.905266401E-1,-2.806172347E-1,1.075505739E0
4.142457083E-1,8.016982164E-1,8.078973614E-1,-4.138209003E-1,1.211059831E0
4.242167083E-1,9.529986490E-1,8.559604508E-1,-3.778295338E-1,1.335526067E0
4.341887083E-1,8.639587109E-1,7.863802656E-1,-2.795512873E-1,1.201235821E0
4.441597083E-1,7.996460630E-1,7.824121989E-1,-2.654127198E-1,1.149802847E0
4.541317083E-1,7.681414843E-1,8.583660684E-1,-2.347978681E-1,1.175569516E0
4.641027083E-1,5.548301603E-1,7.302138855E-1,-1.600798076E-1,9.309534736E-1
4.740747083E-1,4.127806076E-1,7.280451532E-1,-1.050686181E-1,8.434909540E-1
4.840457083E-1,3.577724147E-1,8.630624058E-1,1.394560933E-3,9.342803443E-1
4.940177083E-1,1.520376934E-1,8.232921300E-1,3.141124249E-2,8.378019203E-1
5.039887083E-1,-9.094291449E-2,6.957858451E-1,-3.666671991E-2,7.026613725E-1
5.139597083E-1,-1.650766189E-1,6.390230490E-1,-2.818942666E-2,6.606022942E-1
5.239317083E-1,-4.800321391E-1,3.756067879E-1,1.207672226E-1,6.213662654E-1
5.339027083E-1,-9.345579196E-1,-3.500874192E-3,1.208753961E-1,9.423489919E-1
5.438747083E-1,-1.209714366E0,-1.420801775E-1,7.266451836E-2,1.220194967E0
5.538457083E-1,-1.521925862E0,-2.898750582E-1,7.057413876E-2,1.550892190E0
5.638177083E-1,-1.762528407E0,-4.529744411E-1,2.150956750E-2,1.819932661E0
5.737887083E-1,-1.792012407E0,-4.358600063E-1,-1.876254559E-1,1.853776072E0
5.837607083E-1,-1.692480371E0,-3.514349831E-1,-4.219514537E-1,1.779336782E0
5.937317083E-1,-1.587687157E0,-1.930625624E-1,-6.138377756E-1,1.713131774E0
6.037037083E-1,-1.496656827E0,-1.208347580E-1,-7.902161121E-1,1.696768753E0
6.136747083E-1,-1.411299026E0,-2.435621135E-2,-9.630217999E-1,1.708733202E0
6.236467083E-1,-1.313884268E0,6.934074171E-2,-1.175475703E0,1.764325122E0
6.336177083E-1,-1.241660922E0,1.652713311E-1,-1.356236528E0,1.846189041E0
6.435897083E-1,-1.142751249E0,3.240765189E-1,-1.479706918E0,1.897482166E0
6.535607083E-1,-1.006254870E0,3.752149513E-1,-1.532669243E0,1.871472717E0
6.635327083E-1,-9.145836116E-1,3.424135333E-1,-1.499367011E0,1.789360680E0
6.735037083E-1,-9.193578632E-1,3.159974210E-1,-1.494135507E0,1.782558320E0
6.834747083E-1,-9.621707377E-1,3.323874588E-1,-1.530522146E0,1.838138186E0
6.934467083E-1,-8.752442756E-1,4.680567491E-1,-1.557512308E0,1.846882306E0
7.034177083E-1,-6.880699325E-1,5.552888744E-1,-1.564112061E0,1.796728278E0
7.133897083E-1,-7.668085384E-1,5.290348761E-1,-1.553615139E0,1.811516833E0
7.233607083E-1,-9.867386913E-1,4.658144881E-1,-1.462405007E0,1.824627301E0
7.333327083E-1,-1.124438427E0,4.868939929E-1,-1.480570552E0,1.921852413E0
7.433037083E-1,-1.119723963E0,4.452444220E-1,-1.721828424E0,2.101598789E0
7.532757083E-1,-8.923964980E-1,4.920858818E-1,-1.894944014E0,2.151588446E0
7.632467083E-1,-5.274173900E-1,6.030201343E-1,-1.914008276E0,2.074904833E0
7.732187083E-1,-1.105533063E-1,5.914109261E-1,-1.884914285E0,1.978608293E0
7.831897083E-1,-5.980941474E-2,6.487317659E-1,-1.726448309E0,1.845278796E0
7.931617083E-1,-3.971551663E-1,6.846335238E-1,-1.536758786E0,1.728607201E0
8.031327083E-1,-5.988022453E-1,6.492713177E-1,-1.510667340E0,1.749923766E0
8.131047083E-1,-6.279149473E-1,7.046979520E-1,-1.561300719E0,1.824427669E0
8.230757083E-1,-5.578998023E-1,7.323573285E-1,-1.643497953E0,1.883795363E0
8.330477083E-1,-5.970817021E-1,7.509602451E-1,-1.712015042E0,1.962509453E0
8.430187083E-1,-3.896183977E-1,9.123048055E-1,-1.749417926E0,2.011110547E0
8.529852083E-1,-1.658270359E-1,1.001629795E0,-1.626784857E0,1.917600017E0
8.629572083E-1,-5.179931402E-1,8.685252401E-1,-1.493054942E0,1.803293111E0
8.729282083E-1,-9.935436809E-1,7.578696075E-1,-1.388569291E0,1.868052479E0
8.829002083E-1,-9.424004245E-1,6.717906994E-1,-1.382693424E0,1.803125733E0
8.928712083E-1,-5.885836512E-1,6.724145973E-1,-1.538737484E0,1.779405841E0
9.028432083E-1,-4.838319522E-1,6.773046237E-1,-1.489447795E0,1.706250170E0
9.128142083E-1,-8.466949528E-1,5.616750571E-1,-1.352308953E0,1.691481811E0
9.227862083E-1,-1.012840662E0,6.208544344E-1,-1.281556474E0,1.747482026E0
9.327572083E-1,-7.768745202E-1,7.512318483E-1,-1.353109437E0,1.731701030E0
9.427292083E-1,-5.402148986E-1,8.743648544E-1,-1.481924182E0,1.803453719E0
9.527002083E-1,-4.629117841E-1,8.771051520E-1,-1.228087780E0,1.578543747E0
9.626722083E-1,-6.246416759E-1,9.326946312E-1,-9.456877291E-1,1.467794870E0
9.726432083E-1,-5.315961027E-1,1.026205935E0,-8.188002259E-1,1.416378074E0
9.826152083E-1,-3.313880235E-1,1.001602314E0,-8.673078498E-1,1.365740870E0
9.925862083E-1,9.719592690E-2,8.681969190E-1,-9.803833526E-1,1.313150584E0
1.002557208E0,2.205189675E-1,6.045930353E-1,-8.169636154E-1,1.039995626E0
1.012529208E0,-5.651445025E-1,1.952487633E-1,-5.860310492E-1,8.372232551E-1
1.022500208E0,-1.286061169E0,-2.022604519E-1,-4.219409287E-1,1.368538186E0
1.032472208E0,-1.375307806E0,-6.048845190E-1,-3.551505232E-1,1.543855154E0
1.042443208E0,-1.067481138E0,-8.360199836E-1,-1.902015929E-1,1.369168375E0
1.052415208E0,-9.972894073E-1,-1.034032726E0,2.832442425E-2,1.436875817E0
1.062386208E0,-1.324536433E0,-1.374722207E0,2.579779851E-1,1.926346425E0
1.072358208E0,-1.681979064E0,-1.669831766E0,5.054309821E-1,2.423396826E0
1.082329208E0,-1.781975223E0,-1.866092390E0,7.831398118E-1,2.696487431E0
1.092301208E0,-1.418194794E0,-1.948059536E0,8.216987637E-1,2.545859637E0
1.102272208E0,-9.259562999E-1,-2.199437477E0,1.055338372E0,2.609340791E0
1.112244208E0,-7.355025458E-1,-2.340672585E0,1.409986619E0,2.829801126E0
1.122215208E0,-6.163146561E-1,-2.538686789E0,1.363084202E0,2.946654529E0
1.132187208E0,-3.086271518E-1,-2.805261059E0,1.313027650E0,3.112680828E0
1.142158208E0,-3.089774001E-1,-2.815814113E0,1.772437537E0,3.341528240E0
1.152130208E0,-6.407530940E-1,-3.092414603E0,2.047397006E0,3.763698594E0
1.162101208E0,-7.851173401E-1,-3.615966399E0,2.011929842E0,4.211826673E0
1.172072208E0,-6.551121014E-1,-4.001660438E0,2.254643671E0,4.639598712E0
1.182044208E0,-6.369173205E-1,-4.375075324E0,2.518800409E0,5.088349758E0
1.192015208E0,-3.840609115E-1,-4.681134671E0,2.687975853E0,5.411629956E0
1.201987208E0,1.334159195E-1,-4.675765758E0,2.812394369E0,5.458035115E0
1.211958208E0,6.847685945E-1,-4.917898958E0,2.648864412E0,5.627710090E0
1.221930208E0,8.781389397E-1,-5.129852339E0,2.357583318E0,5.713555121E0
1.231901208E0,9.625037366E-1,-5.045064204E0,2.047908345E0,5.529287011E0
1.241873208E0,1.079863787E0,-5.162629491E0,2.057196647E0,5.661352056E0
1.251844208E0,7.343430430E-1,-5.187512902E0,2.211136878E0,5.686710482E0
1.261816208E0,2.608466291E-1,-5.158811259E0,2.369872996E0,5.683104133E0
1.271787208E0,-5.891596019E-2,-5.144279174E0,2.433611155E0,5.691181122E0
1.281759208E0,-2.283191532E-1,-5.020257391E0,2.595912904E0,5.656313085E0
1.291730208E0,-3.381819034E-1,-4.943160684E0,2.705529487E0,5.645271858E0
1.301701208E0,-5.726558357E-1,-5.034559681E0,2.557373321E0,5.675815729E0
1.311673208E0,-6.800036985E-1,-5.054307482E0,2.353525350E0,5.616717077E0
1.321644208E0,-5.777510995E-1,-4.932731005E0,2.139706707E0,5.407769993E0
1.331616208E0,-4.529048592E-1,-4.699546676E0,2.000905502E0,5.127814798E0
1.341587208E0,-3.265020901E-1,-4.455856655E0,1.838237132E0,4.831188042E0
1.351559208E0,-3.779640198E-3,-4.141287562E0,1.620940565E0,4.447215452E0
1.361530208E0,2.496053571E-1,-3.994934093E0,1.485045426E0,4.269327952E0
1.371502208E0,3.299706584E-1,-3.988546887E0,1.402642370E0,4.240848090E0
1.381473208E0,4.050717115E-1,-3.786542251E0,1.347796656E0,4.039621410E0
1.391445208E0,6.397707617E-1,-3.736316423E0,1.057122211E0,3.935336632E0
1.401416208E0,9.783724952E-1,-3.540523576E0,6.904380548E-1,3.737542594E0
1.411387208E0,1.123067694E0,-3.329950138E0,3.170412952E-1,3.528507354E0
1.421359208E0,1.235664602E0,-3.212520213E0,-1.224798721E-1,3.444147855E0
1.431330208E0,1.252332675E0,-3.160481748E0,-4.891459018E-1,3.434566308E0
1.441302208E0,1.043726825E0,-3.190913290E0,-6.602208138E-1,3.421576366E0
1.451273208E0,8.122560221E-1,-3.215281853E0,-7.093040961E-1,3.391299094E0
1.461245208E0,5.301711363E-1,-3.221788050E0,-7.409270078E-1,3.348129703E0
1.471216208E0,1.772858244E-1,-3.507425997E0,-7.130521613E-1,3.583561186E0
1.481188208E0,-2.061026573E-1,-3.925515364E0,-5.679119897E-1,3.971734282E0
1.491159208E0,-8.740067124E-1,-4.300103202E0,-4.142132485E-1,4.407533085E0
1.501131208E0,-1.771979408E0,-4.814099185E0,-1.207607907E-1,5.131281044E0
1.511102208E0,-2.708483500E0,-5.545065461E0,1.459196055E-1,6.172918789E0
1.521074208E0,-3.989912505E0,-6.636724252E0,5.233848578E-1,7.761407237E0
1.531045208E0,-6.377991391E0,-8.160267745E0,1.493185920E0,1.046414583E1
1.541016208E0,-1.041692461E1,-1.016567093E1,3.148006421E0,1.489171341E1
1.550988208E0,-1.661087080E1,-1.372528157E1,5.641320571E0,2.227395072E1
1.560959208E0,-2.549318431E1,-1.732272720E1,1.045797207E1,3.254763438E1
