"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424425917000E9,"2024-04-18 09:13:45.917 UTC+02:00"
"PAUSE",3.523407999993651E0,1.713424429440000E9,"2024-04-18 09:13:49.440 UTC+02:00"
