"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424734791000E9,"2024-04-18 09:18:54.791 UTC+02:00"
"PAUSE",3.984174375000293E0,1.713424738775000E9,"2024-04-18 09:18:58.775 UTC+02:00"
