"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424913958000E9,"2024-04-18 09:21:53.958 UTC+02:00"
"PAUSE",3.255857291675056E0,1.713424917214000E9,"2024-04-18 09:21:57.214 UTC+02:00"
