"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424598474000E9,"2024-04-18 09:16:38.474 UTC+02:00"
"PAUSE",3.539767041671439E0,1.713424602014000E9,"2024-04-18 09:16:42.014 UTC+02:00"
