"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424316657000E9,"2024-04-18 09:11:56.657 UTC+02:00"
"PAUSE",4.166982041671872E0,1.713424320824000E9,"2024-04-18 09:12:00.824 UTC+02:00"
