"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424455374000E9,"2024-04-18 09:14:15.374 UTC+02:00"
"PAUSE",4.265055874988320E0,1.713424459639000E9,"2024-04-18 09:14:19.639 UTC+02:00"
