"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424705635000E9,"2024-04-18 09:18:25.635 UTC+02:00"
"PAUSE",3.400663416672614E0,1.713424709036000E9,"2024-04-18 09:18:29.036 UTC+02:00"
