sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
42, 1351213742, 0.82909423, 0.25930756, -0.49374622, -0.039706197, 0.69285834, -1.3345028, -11.321051, 0
43, 1351230409, 0.82445294, 0.29678303, -0.47833288, -0.058265403, 0.16995656, 0.9733859, -10.500033, 0
44, 1351247076, 0.8197075, 0.3307107, -0.4599727, -0.08446901, 0.07600149, 2.7008405, -9.501113, 0
45, 1351263743, 0.8143016, 0.36213845, -0.4383513, -0.11669045, 0.018806066, 4.2809014, -8.371431, 0
46, 1351280410, 0.80816823, 0.39152867, -0.41274455, -0.1523519, -0.82491976, 5.573065, -6.2916374, 0
47, 1351297077, 0.8015375, 0.41824403, -0.38297102, -0.18958525, -2.2493355, 5.071242, -3.5652108, 0
48, 1351313744, 0.7938902, 0.4438119, -0.34952676, -0.22494508, -1.6736561, 3.8495376, -1.7786617, 0
49, 1351330411, 0.78314245, 0.47218367, -0.31418785, -0.25498256, -0.4881293, 4.3014174, -0.9086876, 0
50, 1351347078, 0.7675856, 0.5053805, -0.27914134, -0.278357, -1.767673, 5.871215, 1.6379032, 0
51, 1351363745, 0.7475875, 0.53984654, -0.24709395, -0.29769596, -3.4639907, 6.9602566, 7.317314, 0
52, 1351380412, 0.72938985, 0.5672881, -0.21551329, -0.3157982, -2.4402177, 5.409818, 12.27359, 0
53, 1351397079, 0.7152347, 0.5871103, -0.18490867, -0.33098257, -1.3678553, 2.3479965, 13.042889, 0
54, 1351413746, 0.70274097, 0.60377437, -0.15883225, -0.3411507, -2.455149, 0.77178574, 11.487755, 0
55, 1351430413, 0.6886074, 0.621461, -0.13913953, -0.34676516, -2.0537102, 0.15674517, 7.8235626, 0
56, 1351447080, 0.6705118, 0.64256305, -0.12521367, -0.34906727, -0.7115801, 0.047730297, 5.701873, 0
57, 1351463747, 0.64957744, 0.6652927, -0.11470239, -0.34968272, 0.10585674, -0.81557775, 7.0261955, 0
58, 1351480414, 0.6330924, 0.68305206, -0.10345494, -0.34918588, 0.6435889, -2.9341533, 10.556305, 0
59, 1351497081, 0.6234573, 0.69478554, -0.09216534, -0.34652486, -1.7719227, -2.819775, 5.3132963, 0
60, 1351513748, 0.61149174, 0.70788777, -0.0846812, -0.34322238, -0.65521616, -0.22897203, 4.4956455, 0
61, 1351530415, 0.60283315, 0.71752715, -0.07472407, -0.3408272, -1.141955, -2.9859185, 6.1624813, 0
62, 1351547082, 0.605429, 0.7174018, -0.061824787, -0.3390689, 0.17189626, -2.222222, 7.5414925, 0
