sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:48:07.178 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1,2634839550,-0.124450006,-7.234847,-7.577531,0,108.27518949798596,0.15738292563192524,65.72053016121625
2,2634856217,-2.216186,-6.401323,-8.10664,0,105.56411251196302,7.565638541156116,67.81191936465035
3,2634872884,-2.2790716,-3.4154844,-4.007391,0,107.99601425286019,15.66289527223911,69.62456099507727
4,2634889551,-2.1800957,-3.4319816,-1.9354019,0,112.6637803518222,20.437788120322757,71.40367303430641
5,2634906218,5.2194943,-7.0986037,1.4778357,0,118.04567532047713,23.712520459322338,72.31224334226788
6,2634922885,3.8880033,2.1940112,6.7888546,0,120.23116073972767,27.419530977999315,72.34230310216286
7,2634939552,4.0847664,3.3667457,8.391613,0,116.03642229138897,27.412200212288358,74.2240216481424
8,2634956219,12.951609,-17.003187,-1.8590622,0,105.3712029304685,26.299155342521043,75.74722961103578
9,2634972886,1.7813174,-6.400626,-7.536503,0,100.62393724314009,27.432291742584887,74.07792902217354
10,2634989553,8.057388,0.66578746,7.365835,0,96.45506329327858,27.92743845577803,74.26621780135471
11,2635006220,0.86542875,-2.6486228,3.9897785,0,90.26204863149415,27.59934267388853,74.60492546533416
12,2635022887,2.4402287,-8.441883,0.0027227402,0,85.11084754110912,26.959056838557427,74.17409211764114
13,2635039554,-0.46758732,-5.637401,-1.0098886,0,83.9474304178386,26.234703623340746,73.570750493
14,2635056221,-2.417631,-2.9923654,1.7359943,0,84.0380541286656,25.23820062285188,73.75735319530017
15,2635072888,-4.398771,-4.6365056,-0.037326813,0,84.69774593845689,24.060345384194513,74.42259003745242
16,2635089555,-4.5186033,-7.8713503,-2.3803024,0,86.57735421026622,22.730712771834508,74.99313949352745
17,2635106222,-3.5696695,-7.9686804,-1.5229168,0,89.73043297829591,21.243041625845954,74.76066629844699
18,2635122889,-1.983209,-6.127046,-0.30907154,0,92.56781128083472,19.682324811322886,73.70555088185218
19,2635139556,-1.706903,-3.4943247,-0.9715538,0,95.43027041574832,18.256832533745943,72.4656925525535
20,2635156223,-2.6524436,-0.72291744,-2.0358024,0,98.43841995619623,16.763146081814536,71.39271268483067
