"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424957080000E9,"2024-04-18 09:22:37.080 UTC+02:00"
"PAUSE",3.331318166674464E0,1.713424960412000E9,"2024-04-18 09:22:40.412 UTC+02:00"
