"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424288124000E9,"2024-04-18 09:11:28.124 UTC+02:00"
"PAUSE",4.750307708323817E0,1.713424292875000E9,"2024-04-18 09:11:32.875 UTC+02:00"
