"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424396394000E9,"2024-04-18 09:13:16.394 UTC+02:00"
"PAUSE",3.731341333346791E0,1.713424400125000E9,"2024-04-18 09:13:20.125 UTC+02:00"
