"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424519137000E9,"2024-04-18 09:15:19.137 UTC+02:00"
"PAUSE",3.282325166670489E0,1.713424522419000E9,"2024-04-18 09:15:22.419 UTC+02:00"
