"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713424370020000E9,"2024-04-18 09:12:50.020 UTC+02:00"
"PAUSE",3.189150041667744E0,1.713424373210000E9,"2024-04-18 09:12:53.210 UTC+02:00"
